Species,Amphotericin B,Anidulafungin,Caspofungin,Fluconazole,Flucytosine,Isavuconazole,Itraconazole,Micafungin,Posaconazole,Voriconazole
Aspergillus flavus species complex,0.43% (1 / 235),NA,0% (0 / 236),NA,NA,4% (5 / 125),0% (0 / 235),NA,1.69% (4 / 236),0% (0 / 236)
Aspergillus fumigatus,0.9% (15 / 1669),NA,0% (0 / 1669),NA,NA,7.02% (66 / 940),4.56% (76 / 1668),NA,NA,1.92% (32 / 1668)
Aspergillus niger species complex,0% (0 / 247),NA,0% (0 / 246),NA,NA,4.2% (6 / 143),4.08% (10 / 245),NA,0% (0 / 246),0.81% (2 / 246)
Aspergillus terreus species complex,0% (0 / 94),NA,1.06% (1 / 94),NA,NA,1.75% (1 / 57),0% (0 / 94),NA,0% (0 / 94),0% (0 / 94)
Aspergillus versicolor species complex,0% (0 / 13),NA,NA,NA,NA,NA,NA,NA,NA,NA
Candida albicans,0% (0 / 8156),0.25% (20 / 8159),NA,1.59% (130 / 8159),NA,NA,NA,1.59% (130 / 8159),3.75% (306 / 8159),0.82% (67 / 8159)
Candida dubliniensis,11.41% (46 / 403),1.24% (5 / 403),NA,1.99% (8 / 403),NA,NA,1.64% (5 / 304),0.74% (3 / 403),0.99% (4 / 403),NA
Candida glabrata,0% (0 / 3395),2.09% (71 / 3395),NA,15.46% (525 / 3395),NA,NA,2.19% (57 / 2600),3.51% (119 / 3394),7.48% (254 / 3395),12.67% (430 / 3395)
Candida guilliermondii,0% (0 / 117),0% (0 / 117),0% (0 / 117),23.08% (27 / 117),NA,NA,6.59% (6 / 91),0.85% (1 / 117),17.95% (21 / 117),NA
Candida kefyr,0% (0 / 146),0.68% (1 / 146),NA,0% (0 / 146),NA,NA,0% (0 / 108),1.37% (2 / 146),0% (0 / 146),NA
Candida krusei,0% (0 / 517),0.39% (2 / 517),NA,NA,NA,NA,0.79% (3 / 380),0.39% (2 / 517),2.71% (14 / 517),2.51% (13 / 517)
Candida lusitaniae,0% (0 / 318),0.63% (2 / 318),0.31% (1 / 318),9.12% (29 / 318),NA,NA,0.4% (1 / 252),2.2% (7 / 318),26.42% (84 / 318),NA
Candida metapsilosis,0% (0 / 57),3.51% (2 / 57),1.75% (1 / 57),3.51% (2 / 57),NA,NA,0% (0 / 42),0% (0 / 57),0% (0 / 57),7.02% (4 / 57)
Candida orthopsilosis,0% (0 / 129),0% (0 / 129),0% (0 / 129),13.18% (17 / 129),NA,NA,2.33% (2 / 86),0% (0 / 129),2.33% (3 / 129),7.75% (10 / 129)
Candida parapsilosis,1.04% (29 / 2791),0.11% (3 / 2792),0.25% (7 / 2792),8.92% (249 / 2792),NA,NA,0.55% (12 / 2166),0.25% (7 / 2792),0.79% (22 / 2792),NA
Candida pelliculosa,0% (0 / 46),NA,NA,8.7% (4 / 46),NA,NA,2.86% (1 / 35),4.65% (2 / 43),0% (0 / 46),10.87% (5 / 46)
Candida tropicalis,0% (0 / 1749),0.57% (10 / 1750),NA,6.74% (118 / 1750),NA,NA,1.52% (21 / 1383),1.49% (26 / 1750),6.29% (110 / 1750),4.17% (73 / 1750)
Cryptococcus gattii species complex,50% (8 / 16),NA,NA,0% (0 / 16),20% (1 / 5),NA,8.33% (1 / 12),NA,NA,0% (0 / 16)
Cryptococcus neoformans,55.56% (275 / 495),NA,NA,0.6% (3 / 497),5.96% (13 / 218),NA,5.79% (21 / 363),NA,4.63% (23 / 497),0.4% (2 / 497)
Rhodotorula mucilaginosa,0% (0 / 41),NA,NA,NA,NA,NA,10.34% (3 / 29),NA,7.5% (3 / 40),0% (0 / 41)
Saccharomyces cerevisiae,0% (0 / 72),0% (0 / 72),0% (0 / 72),0% (0 / 72),NA,NA,0% (0 / 45),0% (0 / 72),0% (0 / 72),0% (0 / 72)
Trichosporon asahii,7.69% (6 / 78),NA,NA,24.36% (19 / 78),NA,NA,12.7% (8 / 63),NA,3.85% (3 / 78),NA
Candida auris,NA,0% (0 / 19),0% (0 / 19),NA,NA,NA,NA,0% (0 / 19),NA,NA
Candida haemulonii,NA,6.67% (1 / 15),NA,0% (0 / 15),NA,NA,NA,NA,0% (0 / 15),0% (0 / 15)
